Manufacturer,Model,2007,2008,2009,2010,2011,2012,2013,2014,2015
Nissan,LEAF,,,,,9674,9819,22610,30200,17269
Chevrolet  PHEV,Volt PHEV,,,,,7671,23461,23094,18805,15393
Tesla ,Model S,,,,,0,2171,19000,16750,26200
Toyota,Prius Plug-in,,,,,0,12749,12088,13264,4191
Ford ,Fusion Energi,,,,,0,0,6089,11550,9750
Ford ,C-MAX Energi PHEV,,,,,0,2374,7154,8433,7591
BMW ,i3,,,,,0,0,0,6092,11004
Ford ,Focus EV,,,,,0,683,1738,1964,1582
Fiat ,500E,,,,,0,0,260,1503,3477
Smart ,fortwo EV,,,,,0,137,923,2594,1387
VW ,e-Golf,,,,,0,0,0,357,4232
Chevrolet ,Spark,,,,,0,0,560,1145,2629
BMW ,i8,,,,,0,0,0,555,2265
Mercedes ,B-Class Electric,,,,,0,0,0,774,1906
Toyota ,RAV4 EV,,,,,0,192,1005,1184,18
Cadillac ,ELR,,,,,0,0,6,1310,1024
Mitsubishi ,i-MiEV,,,,,76,588,1029,196,115
Porsche ,Panamera S E-Hybrid,,,,,0,0,51,879,407
Porsche ,Cayenne S E-Hybrid,,,,,0,0,0,112,1163
Kia ,Soul EV,,,,,0,0,0,250,1015
Honda ,Fit EV,,,,,0,93,569,407,2
Honda ,Accord,,,,,0,0,526,449,63
BMW ,Active E,,,,,0,965,0,0,0
BMW ,X5,,,,,0,0,0,0,774
Smart ,ED,,,,,310,2,0,0,0
Tesla ,Model X,,,,,0,0,0,0,208
Mercedes ,S550 Plug in,,,,,0,0,0,0,118
Volvo ,XC90,,,,,0,0,0,0,86
Toyota ,Prius,181221,158574,139682,140928,136463,164618,145172,122776,113829
Toyota ,Camry,54477,46272,22887,14587,9241,45656,44448,39515,30640
Honda ,Civic,32575,31297,15119,7336,4703,7156,7719,5070,4887
Ford ,Fusion,,,15554,20816,11286,14100,37270,35405,24681
Lexus ,RX400h,17291,15200,14464,15119,10723,12223,11307,9351,7722
Toyota ,Prius C,,,,,,30838,41979,40570,38484
Toyota ,Highlander,22052,19441,11086,7456,4549,5921,5070,3621,4015
Toyota ,Prius V,,,,,,28450,34989,30762,28290
Ford ,Escape,21386,17173,14787,11182,10089,1440,,,
Hyundai ,Sonata,,,,,19673,20754,21559,21052,19908
Honda ,Insight,0,0,20572,20962,15549,5846,4802,3562,1458
Lexus ,CT 200h,,,,,14381,17831,15071,17673,14657
Ford ,C-Max Hybrid,,,,,,10935,28056,19162,14177
Honda ,Accord,3405,196,,,,,996,13977,11065
Lexus ,ES Hybrid,,,,,,7027,16562,14837,11241
Kia ,Optima Hybrid,,,,,,10245,13919,13776,11492
Toyota ,Avalon Hybrid,,,,,,747,16468,17048,11956
Ford ,Lincoln MKZ,,,,1192,5739,6067,7469,10033,8403
Chevy ,Malibu,,2093,4162,405,24,16664,13779,1018,59
Nissan ,Altima,8388,8819,9357,6710,3236,103,,,
Buick ,Lacrosse,,,,,1801,12010,7133,7353,4042
Honda ,CR-Z,,,,5249,11330,4192,4550,3562,3073
Lexus ,HS 250h,,,6699,10663,2864,650,4,,
Mercury ,Mariner,3722,2329,1693,890,,,,,
Saturn ,Vue,4403,2920,2656,50,,,,,
Chevy ,Tahoe,,3745,3300,1426,519,533,376,65,8
Volkswagen ,Jetta Hybrid,,,,,,162,5655,1939,740
Nissan, Infiniti Q50,,,,,,,307,3456,4012
Lexus ,GS 450h,1645,678,469,305,282,615,522,183,91
Buick ,Regal,,,,,123,2564,2893,662,186
GMC ,Yukon,,1610,1933,1221,598,560,288,31,10
Cadillac ,Escalade,,801,1958,1210,819,708,372,41,7
Chevrolet ,Sierra/Silverado,,,1598,2393,1165,471,104,24,2
Subaru ,XV Crosstrek,,,,,,,,,5589
Nissan ,Pathfinder Hybrid,,,,,,,334,2480,2245
Nissan ,Infiniti QX60,,,,,,,676,1678,2356
Porsche ,Cayenne,,,,206,1571,1180,615,650,
Lexus ,NX Hybrid,,,,,,,,354,2573
Mercury ,Milan,,,1468,1416,,,,,
Acura ,ILX Hybrid,,,,,,972,1461,379,22
Lexus ,LS600hL,937,907,258,129,84,54,115,65,47
Nissan ,Infiniti M35h,,,,,378,691,475,180,176
Saturn ,Aura,772,285,527,54,,,,,
Audi ,Q5 Hybrid,,,,,,270,854,283,97
Toyota ,RAV4,,,,,,,,,1494
BMW ,ActiveHybrid 3 (335ih),,,,,,402,905,151,30
Mercedes ,S400,,,,801,309,121,64,10,1
Mazda ,Tribute,,,,570,484,90,,,
BMW ,ActiveHybrid 5 (535ih),,,,,,403,520,112,12
Chevy,Impala Hybrid,,,,,,,56,565,272
VW ,Touareg Hybrid,,,,,390,250,118,30,16
BMW ,ActiveHybrid 7,,,,102,338,230,31,45,25
Porsche ,Panamera S,,,,,52,570,113,,
Mercedes ,ML450h,,,,627,1,22,11,20,10
Mercedes ,E400H,,,,,,,282,158,53
Acura ,RLX,,,,,,,,133,250
BMW ,X6,,,,205,43,3,,,
Chrysler ,Aspen,,46,33,,,,,,
GMC ,Sierra,,,,,,,65,6,1
Dodge ,Durango,,,9,,,,,,
